,0
neoadj,0.038206686930091306
postpone_neoadj,0.03557750759878432
cn,0.02305471124620071
pn,0.017963525835866356
ct,0.014772036474164241
cea_level,0.013343465045592806
sx,0.013085106382978839
sex,0.012355623100304048
lvi,0.00983282674772048
tumor_grade,0.0075227963525836715
tumor_loc,0.007462006079027461
margin,0.0041185410334347635
no_ln,0.0038145896656535784
pt,0.0023404255319150135
cm,0.0021580547112463157
staging,0.0005015197568389529
tnt,-0.0032370820668692125
age,-0.0043920972644376
